object_id,view_angle,box_img_ratio,CD,max. CD,HD,Dice,IoGT,IoP,IoU,SSIM,MS-SSIM,FSIM,GMSD,ZNCC,IoGT-BB
54629,165_30,0.0033483505249023,0.004941,0.029048,0.009358,0.997085,1.0,0.994186,0.994186,0.8653795379961027,0.919346809387207,0.9145768880844116,0.1175436675548553,0.9914203418662864,
54629,135_30,0.0002899169921875,0.004911,0.027804,0.009327,1.0,1.0,1.0,1.0,0.8638904746016818,0.9263098239898682,0.9184747338294984,0.1100434958934784,0.9922146881666688,
54629,-45_30,0.00128173828125,0.004913,0.019468,0.009323,0.995633,1.0,0.991304,0.991304,0.8966772724969365,0.9420690536499025,0.9196352362632751,0.1096186190843582,0.99403687163785,
54629,225_30,0.0027809143066406,0.004892,0.02407,0.009274,0.99854,1.0,0.997085,0.997085,0.8807323470736346,0.9286556839942932,0.916416585445404,0.1071421355009079,0.9930167685511035,
54629,255_30,0.0,0.004967,0.033611,0.009524,0.995633,1.0,0.991304,0.991304,0.919418669335423,0.9472132325172424,0.914145529270172,0.1010849624872207,0.9950556175445904,
54629,15_30,0.0033702850341796,0.004929,0.017825,0.009424,0.995633,1.0,0.991304,0.991304,0.8902178735266748,0.9369130730628968,0.91576886177063,0.1149483919143676,0.9923409813837544,
54629,195_30,0.0048179626464843,0.004884,0.028792,0.009302,1.0,1.0,1.0,1.0,0.8694456799675552,0.9147055745124816,0.9091168642044068,0.1210681200027465,0.9912529290641076,
54629,285_30,0.0,0.004899,0.026917,0.009296,0.99854,1.0,0.997085,0.997085,0.9204459267437702,0.953562319278717,0.9220327138900756,0.096293419599533,0.9960290823736058,
54629,45_30,0.0,0.004954,0.029071,0.009459,0.995633,1.0,0.991304,0.991304,0.8950508585966992,0.944547176361084,0.9239365458488464,0.1053069755434989,0.993545449484766,
54629,-15_30,0.0023345947265625,0.00486,0.029413,0.0093,1.0,1.0,1.0,1.0,0.8900364672996008,0.9369397163391112,0.9091415405273438,0.1171643882989883,0.9921643779773124,
54629,75_30,0.0,0.005106,0.035752,0.009659,0.991304,1.0,0.982759,0.982759,0.921512220807116,0.964163601398468,0.9445799589157104,0.0800226181745529,0.9960586486142334,
54629,105_30,0.0,0.004863,0.016736,0.009202,1.0,1.0,1.0,1.0,0.9227708899525248,0.9653567671775818,0.9452841877937316,0.0787454470992088,0.99587197102381,
55398,105_30,0.1126823425292968,0.007561,0.062476,0.018178,0.975976,0.984848,0.967262,0.953079,0.9181342589072335,0.926487684249878,0.8507294058799744,0.1347113102674484,0.982368226702826,
55398,195_30,0.0881767272949218,0.006949,0.06129,0.01448,0.99696,0.99696,0.99696,0.993939,0.9082070836858834,0.9381268620491028,0.8829478025436401,0.1295384913682937,0.984722356735195,
55398,-15_30,0.0856208801269531,0.007014,0.061562,0.015852,0.982036,1.0,0.964706,0.964706,0.8994881083755825,0.929685354232788,0.8706955909729004,0.1372043490409851,0.9867321553814346,
55398,15_30,0.0457963943481445,0.007244,0.062168,0.015788,0.985075,1.0,0.970588,0.970588,0.9169249201483232,0.9409644603729248,0.8932204246520996,0.121511086821556,0.9877550549601368,
