object_id,view_angle,box_img_ratio,CD,max. CD,HD,Dice,IoGT,IoP,IoU,SSIM,MS-SSIM,FSIM,GMSD,ZNCC,IoGT-BB
41296,195_30,0.0809926986694336,0.072953,0.271669,0.177906,0.870471,0.939748,0.810706,0.770649,0.604821813587307,0.5070362687110901,0.6422570943832397,0.2596031725406647,0.7781094759260017,
41296,-15_30,0.0738306045532226,0.080644,0.289088,0.182939,0.793433,0.939421,0.686715,0.657595,0.5709082161061673,0.4828369915485382,0.5936680436134338,0.2673201262950897,0.7003436507460802,
41296,-45_30,0.0938644409179687,0.024333,0.13631,0.043806,0.918103,0.979761,0.863747,0.848606,0.6123140573101934,0.4726925790309906,0.6453143954277039,0.2730202078819275,0.7931554987752317,
41296,105_30,0.0,0.082507,0.287489,0.183074,0.642484,0.861525,0.512246,0.473279,0.3853339951077592,0.4553743898868561,0.6189339756965637,0.2191392928361892,0.5189951071720852,
41296,165_30,0.0334358215332031,0.079927,0.289723,0.177972,0.832838,0.992035,0.71767,0.713558,0.5081304296817938,0.4414900243282318,0.6105955243110657,0.2543710768222809,0.6935202816334826,
41296,255_30,0.0276880264282226,0.02436,0.118921,0.047577,0.919647,0.926966,0.912442,0.851247,0.680731780478155,0.5488787889480591,0.6678071022033691,0.2535837888717651,0.8583060903355614,
41296,135_30,0.0147180557250976,0.069962,0.249937,0.174915,0.79128,0.87344,0.723247,0.654643,0.5031489897891719,0.5089612007141113,0.675959050655365,0.2322812378406524,0.6590840220391105,
41296,45_30,0.017216682434082,0.057591,0.234782,0.144007,0.765032,0.858373,0.69,0.619475,0.5361323866021079,0.5323452949523926,0.6529550552368164,0.2573696076869964,0.6709341401604414,
41296,285_30,0.0216732025146484,0.073576,0.275415,0.17105,0.885829,0.943236,0.835008,0.795056,0.6792010139501381,0.547430694103241,0.6648231744766235,0.2531056106090545,0.8730103958895726,
41296,75_30,0.0,0.077533,0.276925,0.175602,0.688711,0.856312,0.575978,0.525217,0.5017258632050032,0.5958777070045471,0.6996326446533203,0.2052174061536789,0.6200865632515569,
41296,15_30,0.0276308059692382,0.063048,0.273541,0.165393,0.876386,0.961261,0.805283,0.779971,0.5906953452626083,0.5318678021430969,0.6259198784828186,0.2443360090255737,0.7597609547730991,
41296,225_30,0.1011028289794921,0.068959,0.282664,0.184189,0.890194,0.933649,0.850604,0.802117,0.6107811374107115,0.5040771961212158,0.6599594354629517,0.2649778127670288,0.8038997316560151,
43567,-45_30,0.1151418685913086,0.070072,0.408125,0.157193,0.880878,0.843844,0.921311,0.787115,0.8806275196094423,0.8496798872947693,0.7289808392524719,0.1874677985906601,0.9292810922957876,
43567,105_30,0.0255031585693359,0.111756,0.482803,0.323176,0.859972,0.952978,0.783505,0.754342,0.8256109525491167,0.7155630588531494,0.6845948100090027,0.213280513882637,0.8148637249955965,
43567,285_30,0.0900459289550781,0.071097,0.415953,0.162523,0.881356,0.864048,0.899371,0.787879,0.8988573380348218,0.8810938000679016,0.8057489991188049,0.1574315130710601,0.9578522976751812,
43567,15_30,0.1147241592407226,0.096582,0.446278,0.27965,0.890995,0.878505,0.903846,0.803419,0.9147401910861244,0.8790283799171448,0.7225147485733032,0.1763863861560821,0.9468889745150034,
43567,225_30,0.1621160507202148,0.010888,0.084601,0.022877,0.906009,0.93038,0.882883,0.828169,0.8785553445877244,0.8544231057167053,0.7342604994773865,0.1865215897560119,0.943223194615256,
43567,195_30,0.1749448776245117,0.011944,0.069655,0.026668,0.900312,0.941368,0.862687,0.818697,0.8832323490651887,0.8364728093147278,0.7060889005661011,0.1951536834239959,0.9289265280477916,
43567,75_30,0.0255031585693359,0.132209,0.598107,0.406684,0.849785,0.933962,0.779528,0.738806,0.8594741374641276,0.7759596705436707,0.6982031464576721,0.1979388743638992,0.8692744330302863,
43567,135_30,0.0665092468261718,0.087291,0.382373,0.256192,0.817143,0.922581,0.733333,0.690821,0.8690625980358709,0.798109233379364,0.6641054153442383,0.2057685106992721,0.889510997984056,
43567,165_30,0.1219148635864257,0.011466,0.068216,0.026077,0.928793,0.949367,0.909091,0.867052,0.9076693437483668,0.8636476397514343,0.6960203647613525,0.1849628984928131,0.9405199904278392,
43567,-15_30,0.1688289642333984,0.137353,0.611579,0.421201,0.87874,0.897106,0.861111,0.783708,0.8844761253329871,0.8390988707542419,0.6925744414329529,0.1995235234498977,0.9321467196054856,
43567,45_30,0.0666656494140625,0.136813,0.611314,0.420487,0.87218,0.935484,0.816901,0.773333,0.8787290094072643,0.8190762400627136,0.6877172589302063,0.1968851089477539,0.9026564694841732,
43567,255_30,0.0899219512939453,0.139966,0.617739,0.426346,0.845921,0.924092,0.779944,0.732984,0.8639201310817365,0.8210699558258057,0.727552592754364,0.1949961185455322,0.9115784457968584,
43630,-45_30,0.1370391845703125,0.133754,0.513748,0.409293,0.813008,0.862069,0.769231,0.684932,0.8526225503989567,0.8036566376686096,0.7521607875823975,0.1897791922092437,0.9054689122849092,
43630,255_30,0.0800075531005859,0.130991,0.47883,0.390049,0.743802,0.79646,0.697674,0.592105,0.8668032497494381,0.8259971737861633,0.7627623677253723,0.1852815449237823,0.9239382980097016,
43630,165_30,0.1269207000732422,0.114486,0.424973,0.341612,0.888579,0.916667,0.862162,0.799499,0.8929957030685162,0.8323971629142761,0.6976155042648315,0.1951968073844909,0.9230339626452484,
43630,135_30,0.0900745391845703,0.117451,0.452998,0.353354,0.885201,0.888889,0.881543,0.794045,0.8652230076004019,0.7881045341491699,0.6748447418212891,0.2055416852235794,0.8795502884608005,
43630,45_30,0.1016387939453125,0.123303,0.447045,0.358211,0.826316,0.872222,0.785,0.704036,0.8226128617377997,0.7029635310173035,0.6626747250556946,0.2262348383665084,0.8114647581435304,
43630,195_30,0.1561107635498047,0.132327,0.51275,0.406062,0.797814,0.874251,0.733668,0.663636,0.8592047414991374,0.7799589037895203,0.6919064521789551,0.2072217017412185,0.8956502841927262,
43630,75_30,0.0594758987426757,0.121249,0.452054,0.355877,0.750894,0.951662,0.620079,0.601145,0.7525909681304235,0.6532796621322632,0.672624409198761,0.2443535029888153,0.7585384831599491,
43630,285_30,0.0807361602783203,0.142202,0.533312,0.418637,0.66766,0.662722,0.672673,0.501119,0.8670490606006759,0.8254863619804382,0.7707703709602356,0.1818045824766159,0.915333323825784,
43630,105_30,0.0450019836425781,0.134753,0.527457,0.416157,0.836763,0.92145,0.766332,0.71934,0.8199247957087131,0.7291267514228821,0.6791277527809143,0.2229413241147995,0.8260291734010687,
43630,15_30,0.1238059997558593,0.119131,0.435546,0.351942,0.852941,0.883657,0.824289,0.74359,0.8717497213708422,0.7856572270393372,0.669529914855957,0.2073061913251876,0.9058644207866526,
