object_id,view_angle,box_img_ratio,CD,max. CD,HD,Dice,IoGT,IoP,IoU,SSIM,MS-SSIM,FSIM,GMSD,ZNCC,IoGT-BB
108259,-45_30,0.0359039306640625,0.013741,0.114335,0.036833,0.955372,1.0,0.914557,0.914557,0.8509884567200751,0.8230290412902832,0.7185072302818298,0.1810576468706131,0.9484015822285976,
111863,-45_30,0.0317764282226562,0.054826,0.36277,0.190077,0.80826,0.964789,0.695431,0.678218,0.8976739084744999,0.8121404647827148,0.6857436895370483,0.1758403927087783,0.9124481207986492,
112273,-45_30,0.060469627380371,0.0226,0.093788,0.055715,0.897328,0.876374,0.919308,0.813776,0.8307447957157686,0.8019492030143738,0.7383161783218384,0.1899286359548568,0.9416653181991148,
113001,-45_30,0.0397186279296875,0.019948,0.089699,0.05001,0.897479,0.914384,0.881188,0.814024,0.9151929828995844,0.9209256172180176,0.8247776031494141,0.1316089481115341,0.97892918291747,
115326,-45_30,0.0596580505371093,0.004839,0.027899,0.011111,0.987805,1.0,0.975904,0.975904,0.9769368403375868,0.9693603515625,0.862522542476654,0.0933089926838874,0.98842668237743,
117532,-45_30,0.212040901184082,0.039607,0.310642,0.104587,0.874644,0.968454,0.797403,0.777215,0.7800186402216026,0.6762769818305969,0.6251001954078674,0.2581468820571899,0.815391334554221,
118629,-45_30,0.0756797790527343,0.012605,0.081209,0.027919,0.913978,0.947955,0.882353,0.841584,0.8133064087026035,0.7363947033882141,0.660386860370636,0.2152926623821258,0.8993140125218234,
105065_0,-45_30,0.053924560546875,0.021127,0.166445,0.073898,0.869023,0.874477,0.863636,0.768382,0.8583053951128855,0.7830494046211243,0.6709907054901123,0.2030511051416397,0.9046354225331824,
109637_1,-45_30,0.0088672637939453,0.013079,0.063308,0.029673,0.915033,1.0,0.843373,0.843373,0.8886630654973517,0.842449963092804,0.6787211298942566,0.1923831403255462,0.9232390167057096,
105065_1,-45_30,0.054473876953125,0.014096,0.062034,0.033346,0.882474,0.895397,0.869919,0.789668,0.8584687371003551,0.7835467457771301,0.6716153621673584,0.2028279602527618,0.9049496863531886,
109637_0,-45_30,0.1002082824707031,0.013506,0.067816,0.0299,0.905537,1.0,0.827381,0.827381,0.8887513031769625,0.8432201743125916,0.6779269576072693,0.1914166957139969,0.9249652081590428,
108259,-15_30,0.0359039306640625,0.013741,0.114335,0.036833,0.955372,1.0,0.914557,0.914557,0.8543001206780099,0.8276894092559814,0.7248049974441528,0.1820114850997924,0.9502534187238092,
111863,-15_30,0.0317764282226562,0.054826,0.36277,0.190077,0.80826,0.964789,0.695431,0.678218,0.907186365276734,0.8129680156707764,0.6852629780769348,0.1684615761041641,0.9172942367516054,
112273,-15_30,0.060469627380371,0.0226,0.093788,0.055715,0.897328,0.876374,0.919308,0.813776,0.8220592528140187,0.7985551357269287,0.7420896887779236,0.1947773098945617,0.9430096285336906,
113001,-15_30,0.0397186279296875,0.019948,0.089699,0.05001,0.897479,0.914384,0.881188,0.814024,0.930045853434151,0.935533344745636,0.8377538323402405,0.1242640540003776,0.9831437203971276,
115326,-15_30,0.0596580505371093,0.004839,0.027899,0.011111,0.987805,1.0,0.975904,0.975904,0.973714015068602,0.9654362201690674,0.8513603210449219,0.0985283702611923,0.9865160258617904,
117532,-15_30,0.212040901184082,0.039607,0.310642,0.104587,0.874644,0.968454,0.797403,0.777215,0.8302958202151319,0.7434561848640442,0.6518514156341553,0.2384797036647796,0.8663259079561589,
118629,-15_30,0.0756797790527343,0.012605,0.081209,0.027919,0.913978,0.947955,0.882353,0.841584,0.8290071229477587,0.7507926821708679,0.6592388153076172,0.2083085626363754,0.910382370039334,
105065_0,-15_30,0.053924560546875,0.021127,0.166445,0.073898,0.869023,0.874477,0.863636,0.768382,0.8694475709762797,0.8014388084411621,0.6863565444946289,0.1942481696605682,0.9147270230629236,
109637_1,-15_30,0.0088672637939453,0.013079,0.063308,0.029673,0.915033,1.0,0.843373,0.843373,0.8908381636924831,0.8445701003074646,0.6931409239768982,0.1871312260627746,0.9238185584942646,
105065_1,-15_30,0.054473876953125,0.014096,0.062034,0.033346,0.882474,0.895397,0.869919,0.789668,0.8693990963914662,0.8018214106559753,0.6849026679992676,0.1936409920454025,0.9153653187431156,
109637_0,-15_30,0.1002082824707031,0.013506,0.067816,0.0299,0.905537,1.0,0.827381,0.827381,0.8915869856762645,0.8465682864189148,0.6928209066390991,0.1862729787826538,0.925444163037458,
108259,15_30,0.0359039306640625,0.013741,0.114335,0.036833,0.955372,1.0,0.914557,0.914557,0.8534679205803548,0.8219267725944519,0.7183266282081604,0.1792301535606384,0.9478246517625708,
111863,15_30,0.0317764282226562,0.054826,0.36277,0.190077,0.80826,0.964789,0.695431,0.678218,0.9092190592687652,0.814115047454834,0.6841463446617126,0.1703307479619979,0.9173573853841454,
112273,15_30,0.060469627380371,0.0226,0.093788,0.055715,0.897328,0.876374,0.919308,0.813776,0.8197923732835848,0.7939955592155457,0.73868328332901,0.1963033527135849,0.9418057532177876,
