object_id,view_angle,box_img_ratio,CD,max. CD,HD,Dice,IoGT,IoP,IoU,SSIM,MS-SSIM,FSIM,GMSD,ZNCC,IoGT-BB
41296,-45_30,0.0938644409179687,0.021693,0.107339,0.045896,0.916918,0.97886,0.862348,0.846582,0.6034962908472921,0.4498580992221832,0.6229736804962158,0.281217098236084,0.7870278288499553,
43567,-45_30,0.1151418685913086,0.010957,0.07859,0.025137,0.944099,0.952978,0.935385,0.894118,0.8830356241302537,0.8654277324676514,0.7432283163070679,0.1847178339958191,0.940124644119948,
43630,-45_30,0.1370391845703125,0.109013,0.537338,0.358935,0.819539,0.883041,0.764557,0.694253,0.8325559605895094,0.7449482083320618,0.7122146487236023,0.2027188390493393,0.8715460588601344,
44387,-45_30,0.0350341796875,0.013682,0.071508,0.031663,0.827397,0.967949,0.722488,0.705607,0.8587729100972166,0.7985701560974121,0.6677046418190002,0.2018739134073257,0.9336028507654456,
51795,-45_30,0.1112127304077148,0.030846,0.21672,0.094005,0.826176,0.926606,0.745387,0.703833,0.8432150419730791,0.7939745783805847,0.6935787796974182,0.2144798934459686,0.9004253472328163,
51897,-45_30,0.0743141174316406,0.093873,0.444598,0.3248,0.699074,0.770408,0.639831,0.537367,0.841507237971607,0.778099000453949,0.6551873087882996,0.2286387383937835,0.8644862247899414,
52230,-45_30,0.039219856262207,0.074998,0.358914,0.242965,0.686411,0.838298,0.581121,0.522546,0.8254010403143207,0.7534152865409851,0.6420081853866577,0.2323980182409286,0.8347002004633861,
52655,-45_30,0.2489595413208007,0.014285,0.063978,0.032989,0.910569,0.945946,0.877743,0.835821,0.8091933847247655,0.7612913250923157,0.6853233575820923,0.2163632363080978,0.9172478919479784,
51938_1,-45_30,0.1017475128173828,0.03684,0.315511,0.120377,0.5,0.536913,0.467836,0.333333,0.7825632656031125,0.6695426106452942,0.598463237285614,0.2618653178215027,0.7523116342787238,
41760_1,-45_30,0.0490016937255859,0.032381,0.168616,0.094828,0.870103,0.97235,0.787313,0.770073,0.872533778104955,0.826542317867279,0.6932787895202637,0.198399469256401,0.9175480847057856,
41760_0,-45_30,0.0441474914550781,0.032114,0.168842,0.093644,0.890269,1.0,0.802239,0.802239,0.8718830680132563,0.8253515362739563,0.6824589371681213,0.199768841266632,0.9177411499046256,
51938_0,-45_30,0.1348114013671875,0.03676,0.321928,0.12075,0.474359,0.493333,0.45679,0.310924,0.7800459043593911,0.6671178936958313,0.5979753136634827,0.2611218988895416,0.7496715025140598,
41296,-15_30,0.0938644409179687,0.021693,0.107339,0.045896,0.916918,0.97886,0.862348,0.846582,0.6364963955872932,0.4646020829677582,0.6297827363014221,0.2695432603359222,0.8326585446390711,
43567,-15_30,0.1151418685913086,0.010957,0.07859,0.025137,0.944099,0.952978,0.935385,0.894118,0.8877959190876942,0.8730371594429016,0.776796281337738,0.1747405976057052,0.9502913078982131,
43630,-15_30,0.1370391845703125,0.109013,0.537338,0.358935,0.819539,0.883041,0.764557,0.694253,0.8483326909449517,0.784362256526947,0.7498841881752014,0.1893721520900726,0.8945388626264297,
44387,-15_30,0.0350341796875,0.013682,0.071508,0.031663,0.827397,0.967949,0.722488,0.705607,0.921014008308689,0.8771193623542786,0.7293940782546997,0.1617596745491027,0.9540620017946638,
51795,-15_30,0.1112127304077148,0.030846,0.21672,0.094005,0.826176,0.926606,0.745387,0.703833,0.8606647371887882,0.8026362061500549,0.695665180683136,0.2103377133607864,0.8977881012562942,
51897,-15_30,0.0743141174316406,0.093873,0.444598,0.3248,0.699074,0.770408,0.639831,0.537367,0.8490385296705613,0.792002260684967,0.674821138381958,0.222581684589386,0.8794075945260784,
52230,-15_30,0.039219856262207,0.074998,0.358914,0.242965,0.686411,0.838298,0.581121,0.522546,0.8167281676592097,0.7374870181083679,0.6157276630401611,0.2348604053258896,0.8166340902969608,
52655,-15_30,0.2489595413208007,0.014285,0.063978,0.032989,0.910569,0.945946,0.877743,0.835821,0.8185785276073834,0.7987316250801086,0.7257512807846069,0.203262060880661,0.9326756749504732,
51938_1,-15_30,0.1017475128173828,0.03684,0.315511,0.120377,0.5,0.536913,0.467836,0.333333,0.895494903340419,0.8271203637123108,0.6678651571273804,0.2131819874048233,0.8827758487741673,
