object_id,view_angle,box_img_ratio,CD,max. CD,HD,Dice,IoGT,IoP,IoU,SSIM,MS-SSIM,FSIM,GMSD,ZNCC,IoGT-BB
83248,-45_30,0.0395069122314453,0.014376,0.08428,0.042654,0.885714,0.911765,0.861111,0.794872,0.91675630188389,0.8806838989257812,0.7258119583129883,0.1720345318317413,0.9470395159159032,
88399,-45_30,0.0441398620605468,0.029657,0.118029,0.069566,0.867816,0.967949,0.786458,0.766497,0.8994843707335335,0.8398757576942444,0.6883149743080139,0.1831789761781692,0.925516986509168,
82191_1,-45_30,0.0253028869628906,0.033135,0.202569,0.087298,0.894737,0.9,0.889535,0.809524,0.9179202904710054,0.8702732920646667,0.7320234775543213,0.1594927310943603,0.944720374156758,
93022_0,-45_30,0.0499076843261718,0.022652,0.068999,0.050534,0.860987,0.90566,0.820513,0.755906,0.8842535900878755,0.8373422622680664,0.6841488480567932,0.194446250796318,0.907783592043238,
93022_1,-45_30,0.0366325378417968,0.023231,0.068906,0.050908,0.864865,0.888889,0.842105,0.761905,0.883103289296533,0.8361465930938721,0.6836063861846924,0.1948394477367401,0.9069849504026024,
86292_1,-45_30,0.0043210983276367,0.017173,0.091801,0.041918,0.9375,1.0,0.882353,0.882353,0.6352649537785521,0.5731173157691956,0.6500137448310852,0.2558433711528778,0.8957867500892105,
86292_0,-45_30,0.0111608505249023,0.016758,0.090943,0.041394,0.934646,1.0,0.877311,0.877311,0.6331250364431599,0.5718675851821899,0.6498957872390747,0.2566129565238952,0.8926286222533828,
82191_0,-45_30,0.0468635559082031,0.011519,0.095207,0.023071,0.911765,0.911765,0.911765,0.837838,0.9144959729643344,0.8633094429969788,0.7202192544937134,0.1631315946578979,0.9388288240665444,
83248,-15_30,0.0395069122314453,0.014376,0.08428,0.042654,0.885714,0.911765,0.861111,0.794872,0.93201948256101,0.9017784595489502,0.757968544960022,0.1583851873874664,0.9590353982073512,
88399,-15_30,0.0441398620605468,0.029657,0.118029,0.069566,0.867816,0.967949,0.786458,0.766497,0.9152329805164162,0.8592965006828308,0.6986532807350159,0.1698501259088516,0.935993330131657,
82191_1,-15_30,0.0253028869628906,0.033135,0.202569,0.087298,0.894737,0.9,0.889535,0.809524,0.9137781598003888,0.8674010634422302,0.7035521268844604,0.1671646237373352,0.9367348208896162,
93022_0,-15_30,0.0499076843261718,0.022652,0.068999,0.050534,0.860987,0.90566,0.820513,0.755906,0.9357832094073832,0.9010816216468812,0.7423021197319031,0.1447742730379104,0.9606826798305522,
93022_1,-15_30,0.0366325378417968,0.023231,0.068906,0.050908,0.864865,0.888889,0.842105,0.761905,0.9346284856117232,0.8994576930999756,0.7409055233001709,0.1457382142543792,0.9599113686956974,
86292_1,-15_30,0.0043210983276367,0.017173,0.091801,0.041918,0.9375,1.0,0.882353,0.882353,0.6443104791224029,0.5637457370758057,0.6796541810035706,0.2505457103252411,0.8887373493196556,
86292_0,-15_30,0.0111608505249023,0.016758,0.090943,0.041394,0.934646,1.0,0.877311,0.877311,0.6410991090091454,0.5633532404899597,0.6825743317604065,0.2527139186859131,0.8849107829998759,
82191_0,-15_30,0.0468635559082031,0.011519,0.095207,0.023071,0.911765,0.911765,0.911765,0.837838,0.909247129618768,0.8570249080657959,0.6959998607635498,0.1723177880048751,0.9297176858606118,
83248,15_30,0.0395069122314453,0.014376,0.08428,0.042654,0.885714,0.911765,0.861111,0.794872,0.9342855758333576,0.9028180241584778,0.7546859383583069,0.1590247303247451,0.9584546073361404,
88399,15_30,0.0441398620605468,0.029657,0.118029,0.069566,0.867816,0.967949,0.786458,0.766497,0.9163711731127387,0.860407829284668,0.6985756158828735,0.1705000251531601,0.9361411878759672,
82191_1,15_30,0.0253028869628906,0.033135,0.202569,0.087298,0.894737,0.9,0.889535,0.809524,0.9159101755982,0.8687877655029297,0.7015917897224426,0.1678950190544128,0.9345165172137564,
93022_0,15_30,0.0499076843261718,0.022652,0.068999,0.050534,0.860987,0.90566,0.820513,0.755906,0.936349349617006,0.9021627306938172,0.7389305233955383,0.1453064680099487,0.960587907688234,
93022_1,15_30,0.0366325378417968,0.023231,0.068906,0.050908,0.864865,0.888889,0.842105,0.761905,0.9357021136639524,0.9011572003364564,0.7386927604675293,0.1458582580089569,0.9600763593911328,
86292_1,15_30,0.0043210983276367,0.017173,0.091801,0.041918,0.9375,1.0,0.882353,0.882353,0.6526929126740806,0.5666105151176453,0.6770842671394348,0.2527772784233093,0.8951103722469116,
86292_0,15_30,0.0111608505249023,0.016758,0.090943,0.041394,0.934646,1.0,0.877311,0.877311,0.6500720390685263,0.564517080783844,0.6797372102737427,0.2553238868713379,0.8907890534851252,
82191_0,15_30,0.0468635559082031,0.011519,0.095207,0.023071,0.911765,0.911765,0.911765,0.837838,0.9131782046299328,0.8602564334869385,0.6955769062042236,0.1731290519237518,0.9281716345888348,
83248,45_30,0.0395069122314453,0.014376,0.08428,0.042654,0.885714,0.911765,0.861111,0.794872,0.9220705599740624,0.8847535252571106,0.7256396412849426,0.1709457039833068,0.9464845346644428,
88399,45_30,0.0441398620605468,0.029657,0.118029,0.069566,0.867816,0.967949,0.786458,0.766497,0.9006268848968464,0.8405831456184387,0.6882364153862,0.1820478737354278,0.9251894466194496,
82191_1,45_30,0.0253028869628906,0.033135,0.202569,0.087298,0.894737,0.9,0.889535,0.809524,0.9193841540972334,0.8705361485481262,0.7241665124893188,0.1619707942008972,0.9433089203834548,
93022_0,45_30,0.0499076843261718,0.022652,0.068999,0.050534,0.860987,0.90566,0.820513,0.755906,0.8866583099232307,0.8375749588012695,0.683658242225647,0.1920744180679321,0.908519560242523,
93022_1,45_30,0.0366325378417968,0.023231,0.068906,0.050908,0.864865,0.888889,0.842105,0.761905,0.8849481621909308,0.8359454274177551,0.6830422282218933,0.192185029387474,0.9069326506156244,
86292_1,45_30,0.0043210983276367,0.017173,0.091801,0.041918,0.9375,1.0,0.882353,0.882353,0.621956495272956,0.5739732980728149,0.6472780108451843,0.2577122747898102,0.902720568577818,
86292_0,45_30,0.0111608505249023,0.016758,0.090943,0.041394,0.934646,1.0,0.877311,0.877311,0.6196669487705413,0.5667716264724731,0.6440377235412598,0.2605425417423248,0.8986149674537831,
82191_0,45_30,0.0468635559082031,0.011519,0.095207,0.023071,0.911765,0.911765,0.911765,0.837838,0.9167346806580374,0.8647026419639587,0.7167602777481079,0.1648937910795211,0.9377988555208204,
83248,75_30,0.0395069122314453,0.014376,0.08428,0.042654,0.885714,0.911765,0.861111,0.794872,0.9138686264229664,0.8828396201133728,0.7266926765441895,0.1791547685861587,0.943654940171236,
88399,75_30,0.0441398620605468,0.029657,0.118029,0.069566,0.867816,0.967949,0.786458,0.766497,0.8942654909663159,0.8388363718986511,0.6867548823356628,0.1906760036945343,0.9204898181342754,
82191_1,75_30,0.0253028869628906,0.033135,0.202569,0.087298,0.894737,0.9,0.889535,0.809524,0.9141093503058072,0.8724992871284485,0.7307022213935852,0.1655662655830383,0.9427039561814836,
93022_0,75_30,0.0499076843261718,0.022652,0.068999,0.050534,0.860987,0.90566,0.820513,0.755906,0.8745683026165267,0.8134927153587341,0.6741271018981934,0.2029142081737518,0.8912675050300803,
93022_1,75_30,0.0366325378417968,0.023231,0.068906,0.050908,0.864865,0.888889,0.842105,0.761905,0.8742819458691703,0.8129876255989075,0.6735703945159912,0.2026789188385009,0.890794707544095,
86292_1,75_30,0.0043210983276367,0.017173,0.091801,0.041918,0.9375,1.0,0.882353,0.882353,0.6112658042896162,0.5502131581306458,0.6532291769981384,0.2687375545501709,0.8816553855131851,
86292_0,75_30,0.0111608505249023,0.016758,0.090943,0.041394,0.934646,1.0,0.877311,0.877311,0.6091894810440948,0.5400238037109375,0.6460256576538086,0.2729685306549072,0.8761422252490747,
82191_0,75_30,0.0468635559082031,0.011519,0.095207,0.023071,0.911765,0.911765,0.911765,0.837838,0.9145724664958812,0.8733100295066833,0.7359799742698669,0.1639954298734665,0.9422442412936444,
83248,105_30,0.0395069122314453,0.014376,0.08428,0.042654,0.885714,0.911765,0.861111,0.794872,0.9168267336860212,0.8867547512054443,0.7381354570388794,0.1738559305667877,0.949916462781452,
88399,105_30,0.0441398620605468,0.029657,0.118029,0.069566,0.867816,0.967949,0.786458,0.766497,0.898678173941197,0.8465843200683594,0.7015097737312317,0.1875613033771515,0.9279885224227008,
82191_1,105_30,0.0253028869628906,0.033135,0.202569,0.087298,0.894737,0.9,0.889535,0.809524,0.9179779124333528,0.8755139708518982,0.7450075149536133,0.1608539372682571,0.9458145329874776,
93022_0,105_30,0.0499076843261718,0.022652,0.068999,0.050534,0.860987,0.90566,0.820513,0.755906,0.8753299609057742,0.8144639134407043,0.6788420081138611,0.2027276903390884,0.8920698700311663,
93022_1,105_30,0.0366325378417968,0.023231,0.068906,0.050908,0.864865,0.888889,0.842105,0.761905,0.8739400577238207,0.8133111596107483,0.6775421500205994,0.2028095126152038,0.8908173399283261,
86292_1,105_30,0.0043210983276367,0.017173,0.091801,0.041918,0.9375,1.0,0.882353,0.882353,0.6086207701094059,0.548260509967804,0.6555460095405579,0.2646922767162323,0.8801975698014538,
86292_0,105_30,0.0111608505249023,0.016758,0.090943,0.041394,0.934646,1.0,0.877311,0.877311,0.6051393279324009,0.5367836356163025,0.646872878074646,0.2705346941947937,0.8739136717464091,
82191_0,105_30,0.0468635559082031,0.011519,0.095207,0.023071,0.911765,0.911765,0.911765,0.837838,0.9179257728496782,0.8755328059196472,0.7467436790466309,0.1616918593645095,0.9456624987686724,
83248,135_30,0.0395069122314453,0.014376,0.08428,0.042654,0.885714,0.911765,0.861111,0.794872,0.9251666442196194,0.8971357345581055,0.7539544701576233,0.1601352095603943,0.9589712883379428,
88399,135_30,0.0441398620605468,0.029657,0.118029,0.069566,0.867816,0.967949,0.786458,0.766497,0.903778481889634,0.8495932221412659,0.6961498856544495,0.183168426156044,0.9292960062357,
82191_1,135_30,0.0253028869628906,0.033135,0.202569,0.087298,0.894737,0.9,0.889535,0.809524,0.9184791120708716,0.8703548312187195,0.7326170802116394,0.1618181765079498,0.9458016646354594,
93022_0,135_30,0.0499076843261718,0.022652,0.068999,0.050534,0.860987,0.90566,0.820513,0.755906,0.8863675582380526,0.8400978446006775,0.683148205280304,0.1936008632183075,0.9082348701449512,
